1003002242;FARMACIA - A/105/F;A/105/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002245;FARMACIA - A/108/F;A/108/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002246;FARMACIA - A/109/F;A/109/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002254;FARMACIA - A/115/F;A/115/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002255;FARMACIA - A/116/F;A/116/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002256;FARMACIA - A/117/F;A/117/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002258;FARMACIA - A/119/F;A/119/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002260;FARMACIA - A/12/F;A/12/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002261;FARMACIA - A/120/F;A/120/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002262;FARMACIA - A/121/F;A/121/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002265;FARMACIA - A/124/F;A/124/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002266;FARMACIA - A/125/F;A/125/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002268;FARMACIA - A/127/F;A/127/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002269;FARMACIA - A/128/F;A/128/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002274;FARMACIA - A/131/F;A/131/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002278;FARMACIA - A/135/F;A/135/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002280;FARMACIA - A/137/F;A/137/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002288;FARMACIA - A/143/F;A/143/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002292;FARMACIA - A/147/F;A/147/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002299;FARMACIA - A/152/F;A/152/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002300;FARMACIA - A/153/F;A/153/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002304;FARMACIA - A/157/F;A/157/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002314;FARMACIA - A/165/F;A/165/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002315;FARMACIA - A/166/F;A/166/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002323;FARMACIA - A/172/F;A/172/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002328;FARMACIA - A/177/F;A/177/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002339;FARMACIA - A/187/F;A/187/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002346;FARMACIA - A/193/F;A/193/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002347;FARMACIA - A/194/F;A/194/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
1003002348;FARMACIA - A/195/F;A/195/F;Comunitat Valenciana;Alicante;Alicante;Oficinas de farmacia;Privados
